KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-212,200.790846861,-43.8744586298,1,6.21,18.23,2.23,1.61,0.17,16.95,1.38,2.46,A,*,1,candidate,3.8
KV19-213,200.802209489,-41.3251205256,1,8.85,18.34,3.8,,,,4.0,,E,,1,candidate,3.8
KV19-214,200.804788802,-43.2732746939,1,6.77,17.66,1.68,2.02,0.04,16.43,2.0,0.0,D,,1,candidate,3.8
KV19-215,200.822183811,-44.727143806,1,3.32,17.72,1.87,1.48,0.02,16.74,4.0,0.23,E,,1,candidate,3.8
KV19-216,200.842356158,-44.2647414534,1,6.23,16.37,3.21,,,,4.0,,E,,1,candidate,3.8
KV19-217,200.845620896,-44.7364000255,1,3.85,16.74,1.54,2.12,0.06,15.97,1.75,0.0,D,,1,candidate,3.8
KV19-218,200.912543663,-42.4783306757,1,7.36,12.93,1.63,,,,3.75,,D,,1,candidate,3.8
KV19-219,200.930867767,-43.0303990463,1,5.88,18.72,1.72,2.93,0.43,17.8,4.0,0.01,E,,1,candidate,3.8
KV19-220,200.931990236,-41.955820186,1,2.77,17.85,1.79,2.94,0.35,16.86,1.5,0.0,D,,1,candidate,3.8
KV19-221,200.934883576,-41.2836093072,1,8.39,18.37,3.95,,,,4.0,,E,,1,candidate,3.8
